City_ID,City,Longitude,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san andres,-81.7006,12.5847,27.01,83,20,3.6,CO,1707795784
1,bilibino,166.4372,68.0546,-29.9,96,91,1.5,RU,1707795784
2,longyearbyen,15.6401,78.2186,-11.09,79,0,0.51,SJ,1707795784
3,aasiaat,-52.8699,68.7098,-29.8,97,57,3.12,GL,1707795690
4,port isabel,-97.2086,26.0734,16.68,66,0,2.68,US,1707795785
5,cockburn town,-71.1419,21.4612,25.27,76,0,8.81,TC,1707795785
6,michendorf,13.0257,52.3012,5.54,92,13,4.02,DE,1707795785
7,ushuaia,-68.3,-54.8,8.81,71,0,1.54,AR,1707795785
8,leava,-178.1667,-14.3,28.94,81,100,7.34,WF,1707795785
9,katsuren-haebaru,127.8719,26.3369,23.43,46,0,6.69,JP,1707795785
10,isafjordur,-23.124,66.0755,-1.51,90,100,5.18,IS,1707795785
11,guerrero negro,-114.0611,27.9769,16.09,57,0,7.15,MX,1707795786
12,inarajan village,144.7484,13.2736,30.54,73,77,10.62,GU,1707795786
13,stanley,-1.6985,54.868,3.77,85,40,7.2,GB,1707795786
14,yellowknife,-114.3525,62.456,-10.71,85,100,0,CA,1707795786
15,vila franca do campo,-25.4333,37.7167,18.27,99,47,8.41,PT,1707795786
16,waitangi,-176.5597,-43.9535,17.12,78,26,2.24,NZ,1707795629
17,tiksi,128.8694,71.6872,-32.38,100,100,1.05,RU,1707795786
18,afaahiti,-149.2833,-17.75,26.93,90,100,12.96,PF,1707795787
19,pierre,-100.351,44.3683,4.04,60,100,0,US,1707795787
20,jamestown,-79.2353,42.097,-1.1,83,0,4.63,US,1707795787
21,paracuru,-39.0306,-3.41,28.95,86,73,4.65,BR,1707795788
22,blackmans bay,147.3167,-43.0167,20.41,73,55,0.89,AU,1707795788
23,adamstown,-130.1015,-25.066,25.01,91,97,6.8,PN,1707795632
24,puerto ayora,-90.3518,-0.7393,26.97,97,46,0.89,EC,1707795789
25,perelyub,50.3667,51.8667,2.03,100,100,5.85,RU,1707795789
26,port lincoln,135.8667,-34.7333,21.83,60,4,8.67,AU,1707795789
27,port mathurin,63.4167,-19.6833,27.32,82,50,9.81,MU,1707795665
28,ad dilam,47.1627,23.9915,11.23,84,0,2.33,SA,1707795790
29,neiafu,-173.9833,-18.65,31.38,74,75,3.09,TO,1707795790
30,dhidhdhoo,73.1,6.8833,27.62,69,81,3.83,MV,1707795790
31,awjilah,21.2869,29.1081,12.83,58,70,2.06,LY,1707795790
32,grytviken,-36.5092,-54.2811,4.52,93,100,3.36,GS,1707795790
33,hermanus,19.2345,-34.4187,21,85,88,2.39,ZA,1707795503
34,bredasdorp,20.0403,-34.5322,17.95,96,77,2.62,ZA,1707795791
35,cassilandia,-51.7342,-19.1133,22.48,76,16,1.25,BR,1707795791
36,broome,-75.833,42.2506,-0.21,88,0,1.54,US,1707795791
37,albany,-73.9662,42.6001,1.24,74,93,1.48,US,1707795791
38,zahedan,60.8629,29.4963,11.17,19,1,1.38,IR,1707795791
39,kargasok,80.8572,59.0556,-22.6,96,94,3.45,RU,1707795791
40,nelson bay,152.15,-32.7167,27.78,71,1,12.52,AU,1707795589
41,talnakh,88.3972,69.4865,-34.07,86,21,1.74,RU,1707795791
42,port-aux-francais,70.2167,-49.35,7.53,87,99,12.96,TF,1707795792
43,usogorsk,48.6872,63.4106,-24.63,99,94,2.34,RU,1707795792
44,samho-rodongjagu,127.8711,39.9475,8.78,66,0,6.51,KP,1707795792
45,hawaiian paradise park,-154.9731,19.5933,23.82,80,100,1.54,US,1707795515
46,ta`u,-169.5144,-14.2336,28.32,81,82,6.8,AS,1707795678
47,vorkuta,64,67.5,-35.28,99,31,2.6,RU,1707795793
48,papatowai,169.4708,-46.5619,21.83,50,88,1.15,NZ,1707795530
49,ilulissat,-51.1,69.2167,-24.99,58,60,1.54,GL,1707795639
50,lebu,-73.65,-37.6167,12.79,84,0,7.02,CL,1707795793
51,uturoa,-151.4333,-16.7333,27.53,85,100,11.45,PF,1707795793
52,wynyard,145.7167,-41,20.67,70,64,2.59,AU,1707795794
53,la tuque,-72.7824,47.4334,-7.86,86,32,0.51,CA,1707795794
54,qaqortoq,-46.0333,60.7167,-2.27,93,100,4.02,GL,1707795634
55,st. john's,-52.7093,47.5649,0.99,93,100,5.14,CA,1707795794
56,bethel,-73.414,41.3712,3.2,72,20,0,US,1707795794
57,new norfolk,147.0587,-42.7826,21.07,25,55,4.49,AU,1707795794
58,mirny,113.9611,62.5353,-26.73,96,99,2.3,RU,1707795794
59,tsiombe,45.4833,-25.3,24.1,90,98,4.64,MG,1707795794
60,maun,23.4167,-19.9833,20.7,55,0,2.58,BW,1707795495
61,miahuatlan de porfirio diaz,-96.6,16.3333,15.22,89,2,2.32,MX,1707795795
62,khovd,91.6419,48.0056,-10.95,34,0,1.3,MN,1707795795
63,lodwar,35.5973,3.1191,28.87,39,66,3.33,KE,1707795795
64,selfoss,-20.9971,63.9331,-0.53,84,24,3.88,IS,1707795795
65,kirensk,108.1119,57.7853,-14,86,100,4.72,RU,1707795795
66,wailua homesteads,-159.378,22.0669,25.44,68,0,4.12,US,1707795796
67,avarua,-159.775,-21.2078,29.03,65,20,3.09,CK,1707795503
68,emporia,-96.1817,38.4039,4.38,65,0,1.54,US,1707795712
69,enewetak,162.3373,11.3474,26.5,77,90,9.68,MH,1707795796
70,klyuchi,79.1667,52.2667,-12.19,81,100,4.99,RU,1707795796
71,thompson,-97.8558,55.7435,-8.91,86,100,2.06,CA,1707795796
72,tazovsky,78.7,67.4667,-39.76,100,35,0.87,RU,1707795528
73,trevelin,-71.4639,-43.0858,13.71,66,97,1.37,AR,1707795797
74,west island,96.8225,-12.1568,29.99,70,40,5.14,CC,1707795797
75,puerto natales,-72.4875,-51.7236,7.37,84,100,2.12,CL,1707795797
76,arraial do cabo,-42.0278,-22.9661,25.01,90,82,9.61,BR,1707795500
77,petropavlovsk-kamchatsky,158.6483,53.0452,-8.67,72,20,3.13,RU,1707795797
78,mae chai,99.814,19.346,30.1,35,33,1.12,TH,1707795798
79,ribeira grande,-28.7,38.5167,17.1,88,51,9.83,PT,1707795798
80,saipan,145.701,15.1355,30.39,51,0,10.8,MP,1707795649
81,malayer,48.8235,34.2969,4.65,51,8,2.2,IR,1707795798
82,san antonio de pale,5.6325,-1.4014,28.27,81,60,3.11,GQ,1707795799
83,rio grande,-52.0986,-32.035,22.75,91,100,5,BR,1707795560
84,nova vicosa,-39.3719,-17.8919,24.93,91,6,1.54,BR,1707795799
85,fort st. john,-120.8529,56.2499,-2.06,40,20,3.09,CA,1707795799
86,noosa heads,153.15,-26.3833,23.95,77,87,5.87,AU,1707795799
87,sufalat sama'il,58.0167,23.3167,17.82,78,1,0.96,OM,1707795799
88,labrador city,-66.9114,52.9463,-12.05,85,100,3.09,CA,1707795799
89,diego de almagro,-70.05,-26.3667,19.75,58,63,0.71,CL,1707795800
90,comodoro rivadavia,-67.5,-45.8667,8.92,49,0,2.57,AR,1707795800
